Date,ACN,ADBE,AMD,AKAM,APH,ADI,AAPL,AMAT,APP,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,CRWD,DDOG,DELL,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,GDDY,HPE,HPQ,IBM,INTC,INTU,JBL,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PLTR,PANW,PTC,QCOM,ROP,CRM,STX,NOW,SWKS,SMCI,SNPS,TEL,TDY,TER,TXN,TRMB,TYL,VRSN,WDC,WDAY,ZBRA
2001-12-01,32314900.0,150719400,141235200,39805500,128044800,59541700,4629839200,558774000,,,60991200,,28976000,,1218872300,52413600,193940400,,,,,47633400,9549225,,,5657600,338490400,,,368756828,139529912,851932500,103231000,49498100,,140723600,451498000,133117200,144481100,977089000,,64242783,232852000,17648640000,,17237300.0,902651800,,,37425760,442133000,6618600,,,,71090800,,86319800,,1985100,41653300,218841900,41786400,2372400,153185800,65095704,,6158700
2002-01-01,46095500.0,158035200,186799800,36521000,151715200,76817400,8515376800,735702400,,,62401600,,29691000,,1387270300,78868800,224195600,,,,,66519000,21041775,,,5940600,573608800,,,328862094,202466792,1104847100,145690400,43813400,,203363600,550638000,136103700,169653300,1360115800,,73555013,266103900,23589180000,,13061300.0,982482000,,,25029040,710850800,5596600,,,,66612300,,58916800,,2445800,67214900,281335900,25553400,1666900,276015200,78371872,,9893250
2002-02-01,29172100.0,123735400,120825500,17905100,78288000,66025400,7837424000,820862000,,,72780400,,22748400,,1624686200,31824000,199526500,,,,,54626200,7911450,,,3974000,377491600,,,321440693,180247765,958632000,125148600,41244900,,232689100,406105000,132434400,162690400,1131159200,,61177755,214884300,30995268000,,4742500.0,717495900,,,13783520,744891200,8222800,,,,28055600,,63682400,,2450700,51348400,199166600,38370000,1246700,211112000,52316844,,6997050
2002-03-01,33331500.0,139779400,107391900,17618700,81126400,54484300,5318583200,745525000,,,71492000,,22903000,,1227851800,29719200,185785000,,,,,68069200,5033925,,,5061200,284985200,,,693597189,158226850,923979300,97391200,58590800,,219167900,662739000,124837500,191945800,1073244200,,53046081,219296200,27269724000,,4133400.0,1084341000,,,22268640,519217800,6353000,,,,37366200,,40293000,,2089600,64139000,204641300,38397600,4819900,150263300,41631901,,9503100
2002-04-01,47305900.0,155333800,133431100,27481000,114438400,65105500,6422836000,691604100,,,104268600,,27733600,,1423798200,65186400,144006900,,,,,80547800,11288475,,,6968300,374694000,,,583244842,257842453,977552800,108630800,36714700,,255532900,603842000,178630800,217530800,1417479400,,72250747,183838700,32098620000,,10411300.0,858987300,,,26330880,603103000,5494400,,,,28588400,,51256200,,2331500,66607800,220904100,49761000,2748300,294419600,63492228,,10347525
2002-05-01,115076500.0,195149200,100840400,25508100,65702400,71086200,5976157600,689914400,,,138609400,,25931500,,1652350000,90588000,162655200,,,,,26624800,19303875,,,4833700,322344000,,,724755049,180684368,976795600,126304600,47943800,,303942100,659647000,160092000,173903700,1420266200,,55808128,224745100,27800688000,,11649500.0,1338384000,,,26413040,660463600,14622400,,,,21916600,,72746800,,3933700,75923500,191687000,34079400,2896000,163527100,60936324,,13821975
2002-06-01,57007000.0,253536200,137478900,30823600,109126400,59412800,8708016800,627637200,,,54586200,,27513200,,1344498300,123254400,167304300,,,,,18186400,13997025,,,6121200,307278400,,,458797049,199765814,1334010600,169671000,44421200,,292769300,498338000,166883000,177238600,1834073000,,71801024,134838800,28839096000,,7192100.0,1288408900,,,15748920,762069600,8829200,,,,56807200,,81508600,,2168600,54873900,222626700,19672200,3543800,78146200,40712678,,11927025
2002-07-01,94359700.0,176212000,111618400,17024100,164681600,82964400,8118415200,815204600,,,56180200,,37613800,,1847651500,224400000,431126100,,,,,24424800,17055750,,,6225400,412162400,,,584857366,257584716,1507029200,188533400,46847000,,392836900,582345000,193616800,189507200,2432188000,,100165628,186627700,32480220000,,4974800.0,1228460500,,,13641040,714083200,11050000,,,,48666500,,91417400,,3832200,89124400,275465800,20605800,1644600,138175700,52959558,,12062700
2002-08-01,31483000.0,184005000,110296000,21555300,104553600,74523800,5151686400,649882100,,,52980000,,33205200,,1707727900,247473600,548549800,,,,,19122000,12925200,,,3792800,349834800,,,436376505,173973126,1182004600,128710400,33220300,,314269400,521258000,155541600,157377200,1715757200,,57305956,166069700,24041412000,,1633800.0,970463800,,,10562760,532891800,8888600,,,,33027900,,65014800,,2338300,49443700,233706400,17600400,2892800,102440700,39107484,,8095725
2002-09-01,46113700.0,137722400,118764300,12465300,132972800,70091900,5291837600,665135300,,,34048200,,20492000,,1494614400,251299200,160057500,,,,,17717200,8481900,,,2867300,332443200,,,396766709,194204963,1253168200,139359200,44210700,,325308700,512175000,236969000,161514300,1695705800,,53954799,106081000,17827740000,,2198500.0,1080104500,,,10148680,610756400,6854200,,,,34897300,,61558800,,2646600,55175500,237257300,16334400,1488200,55765800,24767620,,6649875
