year,fempgr_gr,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1985,a) -2,0,0,0,1751388,0,0.000,544592,200.000,0,0,0,0.000,0.000,3502776,3502776,0,200.000,200.000,-3502776,-200.000,0.000,431657,440689,2816160
1985,b) (-2 to -0.8],125432,132632,501398,1312747,341,0.252,5833,4.309,5764,2629,3135,0.200,0.439,1640490,157953,1482537,12.032,124.966,-1634726,-124.527,0.878,0,0,0
1985,c) (-0.8 to -0.2],550813,611046,5554434,6835689,2930,0.478,6147,1.003,161349,67552,93797,0.988,2.360,2732089,186491,2545598,2.728,39.968,-2570740,-37.608,4.721,0,0,0
1985,d) (-0.2 to -0.01],276864,505432,17521008,18200728,14014,2.767,16158,3.190,904552,283870,620682,1.560,4.970,2262542,390787,1871755,2.147,12.431,-1357990,-7.461,9.940,0,0,0
1985,e) (-0.01 to 0.01),1302095,1401730,10044539,10040802,3842,0.274,8024,0.572,346395,79336,267059,0.790,3.450,340825,112280,228545,1.118,3.394,5570,0.055,6.789,0,0,0
1985,f) [0.01 to 0.2),349597,734987,28880646,27757449,32686,4.498,16011,2.203,3568669,860690,2707979,3.101,12.857,1324131,394535,929596,1.421,4.770,2244538,8.086,9.541,0,0,0
1985,g) [0.2 to 0.8),708583,824690,12604868,10611638,17721,2.168,3346,0.409,4207374,414927,3792447,3.910,39.649,211333,68694,142639,0.647,1.992,3996041,37.657,3.983,0,0,0
1985,h) [0.8 to 2),156808,166857,3140197,1952535,3404,2.059,354,0.214,2396055,128443,2267612,6.578,122.715,7883,3308,4575,0.169,0.404,2388172,122.311,0.807,0,0,0
1985,i) 2,602753,608111,3331734,1665867,608111,200.000,0,0.000,3331734,3331734,0,200.000,200.000,0,0,0,0.000,0.000,3331734,200.000,0.000,0,0,0
1986,a) -2,0,0,0,1555612,0,0.000,525997,200.000,0,0,0,0.000,0.000,3111224,3111224,0,200.000,200.000,-3111224,-200.000,0.000,414723,422550,2553227
1986,b) (-2 to -0.8],131944,140776,602883,1600616,731,0.512,4626,3.241,13415,7491,5924,0.468,0.838,2020738,116279,1904459,7.265,126.248,-2007323,-125.409,1.676,0,0,0
1986,c) (-0.8 to -0.2],579575,654084,6065392,7479766,7361,1.124,9065,1.384,174905,79824,95081,1.067,2.338,3010973,214258,2796715,2.865,40.255,-2836068,-37.917,4.677,0,0,0
1986,d) (-0.2 to -0.01],296028,574720,20799004,21619854,21718,3.784,20218,3.522,1160251,422810,737441,1.956,5.367,2802621,474100,2328521,2.193,12.963,-1642370,-7.597,10.733,0,0,0
1986,e) (-0.01 to 0.01),1332500,1430617,10439738,10436018,5835,0.408,3416,0.239,330293,100281,230012,0.961,3.165,322476,62250,260226,0.596,3.090,7817,0.075,6.180,0,0,0
1986,f) [0.01 to 0.2),353942,701394,26477146,25418842,36770,5.322,15869,2.297,3355714,827299,2528415,3.255,13.202,1241091,322107,918984,1.267,4.883,2114623,8.319,9.765,0,0,0
1986,g) [0.2 to 0.8),708904,838593,13033470,10952558,29374,3.556,4211,0.510,4422565,588548,3834017,5.374,40.379,253646,67490,186156,0.616,2.316,4168919,38.063,4.632,0,0,0
1986,h) [0.8 to 2),154407,167868,2886521,1814571,5797,3.511,301,0.182,2168433,162061,2006372,8.931,119.501,12012,3672,8340,0.202,0.662,2156421,118.839,1.324,0,0,0
1986,i) 2,600030,603617,3355204,1677602,603617,200.000,0,0.000,3355204,3355204,0,200.000,200.000,0,0,0,0.000,0.000,3355204,200.000,0.000,0,0,0
1987,a) -2,0,0,0,1733667,0,0.000,546447,200.000,0,0,0,0.000,0.000,3467334,3467334,0,200.000,200.000,-3467334,-200.000,0.000,435803,444145,2819043
1987,b) (-2 to -0.8],137903,147461,694328,1861379,899,0.597,7312,4.853,13011,7496,5515,0.403,0.699,2360145,199179,2160966,10.701,126.796,-2347134,-126.097,1.398,0,0,0
1987,c) (-0.8 to -0.2],604990,690308,6876008,8510331,7883,1.136,14946,2.154,253428,115836,137592,1.361,2.978,3532202,390595,3141607,4.590,41.505,-3278774,-38.527,5.956,0,0,0
1987,d) (-0.2 to -0.01],300297,575991,20431265,21304955,22336,3.862,27183,4.700,1303059,510550,792509,2.396,6.116,3051163,664294,2386869,3.118,14.321,-1748104,-8.205,12.232,0,0,0
1987,e) (-0.01 to 0.01),1334332,1425141,10033046,10030732,6629,0.465,6105,0.428,439055,156341,282714,1.559,4.377,433747,121886,311861,1.215,4.324,5308,0.053,8.648,0,0,0
1987,f) [0.01 to 0.2),354675,714207,27233652,26142246,40670,5.789,17337,2.468,3428549,929084,2499465,3.554,13.115,1243437,330792,912645,1.265,4.756,2185112,8.359,9.513,0,0,0
1987,g) [0.2 to 0.8),721364,869558,13593080,11419640,31909,3.722,7536,0.879,4642170,634476,4007694,5.556,40.651,286109,86089,200020,0.754,2.505,4356061,38.145,5.011,0,0,0
1987,h) [0.8 to 2),161224,182001,3133139,1963860,10516,5.937,773,0.436,2366034,258289,2107745,13.152,120.479,15266,5033,10233,0.256,0.777,2350768,119.701,1.555,0,0,0
1987,i) 2,608956,619504,3888664,1944332,619504,200.000,0,0.000,3888664,3888664,0,200.000,200.000,0,0,0,0.000,0.000,3888664,200.000,0.000,0,0,0
1988,a) -2,0,0,0,1672092,0,0.000,536586,200.000,0,0,0,0.000,0.000,3344184,3344184,0,200.000,200.000,-3344184,-200.000,0.000,425385,435338,2790551
1988,b) (-2 to -0.8],140756,152676,682370,1720106,957,0.611,8829,5.637,19343,8898,10445,0.517,1.125,2104768,230368,1874400,13.393,122.363,-2085425,-121.238,2.249,0,0,0
1988,c) (-0.8 to -0.2],631017,729649,6845971,8447623,8724,1.191,14547,1.986,274920,117975,156945,1.397,3.254,3486137,364649,3121488,4.317,41.268,-3211217,-38.013,6.509,0,0,0
1988,d) (-0.2 to -0.01],314222,594316,20011125,20842913,28250,4.772,23560,3.980,1231130,478429,752701,2.295,5.907,2896677,574348,2322329,2.756,13.898,-1665547,-7.991,11.813,0,0,0
1988,e) (-0.01 to 0.01),1358756,1443574,10092367,10093686,6077,0.421,3543,0.246,310458,96158,214300,0.953,3.076,312441,80020,232421,0.793,3.095,-1983,-0.020,6.152,0,0,0
1988,f) [0.01 to 0.2),372999,768902,29561196,28373976,47476,6.293,18628,2.469,3860045,946676,2913369,3.336,13.604,1480960,388192,1092768,1.368,5.219,2379085,8.385,10.439,0,0,0
1988,g) [0.2 to 0.8),733905,887565,14691598,12394214,31461,3.597,5546,0.634,4959726,804720,4155006,6.493,40.016,357399,104933,252466,0.847,2.884,4602327,37.133,5.767,0,0,0
1988,h) [0.8 to 2),156657,172821,3017121,1910633,6731,3.966,559,0.329,2254536,311535,1943001,16.305,117.999,30305,15348,14957,0.803,1.586,2224231,116.413,3.172,0,0,0
1988,i) 2,599612,609111,3485000,1742500,609111,200.000,0,0.000,3485000,3485000,0,200.000,200.000,0,0,0,0.000,0.000,3485000,200.000,0.000,0,0,0
1989,a) -2,0,0,0,1682845,0,0.000,545241,200.000,0,0,0,0.000,0.000,3365689,3365689,0,200.000,200.000,-3365689,-200.000,0.000,429504,441747,2785028
1989,b) (-2 to -0.8],136322,145265,564328,1385425,643,0.435,6066,4.099,11877,6152,5725,0.444,0.857,1666194,155333,1510861,11.212,120.266,-1654317,-119.409,1.715,0,0,0
1989,c) (-0.8 to -0.2],627020,713185,6486049,8013683,6882,0.962,11446,1.600,213253,98267,114986,1.226,2.661,3276939,272385,3004554,3.399,40.892,-3063686,-38.231,5.322,0,0,0
1989,d) (-0.2 to -0.01],322257,604469,20438015,21236788,20065,3.317,20801,3.439,1187495,407566,779929,1.919,5.592,2776618,549885,2226733,2.589,13.075,-1589123,-7.483,11.183,0,0,0
